type,title,release_year,rating,listed_in,description,service
Movie,Duck the Halls: A Mickey Mouse Christmas Special,2016,TV-G,"Animation, Family",Join Mickey and the gang as they duck the halls!,disney plus
Movie,Ernest Saves Christmas,1988,PG,Comedy,Santa Claus passes his magic bag to a new St. Nic.,disney plus
Movie,Ice Age: A Mammoth Christmas,2011,TV-G,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.,disney plus
Movie,The Queen Family Singalong,2021,TV-PG,Musical,"This is real life, not just fantasy!",disney plus
TV Show,The Beatles: Get Back,2021,,"Docuseries, Historical, Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,disney plus
Movie,Becoming Cousteau,2021,PG-13,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,disney plus
TV Show,Hawkeye,2021,TV-14,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,disney plus
TV Show,Port Protection Alaska,2015,TV-14,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,disney plus
TV Show,Secrets of the Zoo: Tampa,2019,TV-PG,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,disney plus
Movie,A Muppets Christmas: Letters To Santa,2008,G,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,disney plus
Movie,Adventure Thru the Walt Disney Archives,2020,TV-PG,Documentary,Explore the treasures and rich history of the Walt Disney Archives.,disney plus
Movie,Puppy for Hanukkah,2020,TV-G,"Comedy, Family, Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",disney plus
Movie,The Pixar Story,2007,G,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,disney plus
TV Show,"Dr. Oakley, Yukon Vet",2013,TV-PG,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",disney plus
Movie,America the Beautiful,2021,TV-PG,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",disney plus
Movie,Baymax!,2021,TV-G,Animation,“Baymax!” premieres on Disney+ summer 2022.,disney plus
Movie,Ciao Alberto,2021,TV-PG,"Animation, Comedy, Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,disney plus
TV Show,Disney Fancy Nancy,2018,TV-PG,"Animation, Kids",Nancy makes every day extraordinary!,disney plus
TV Show,Disney Intertwined,2021,TV-PG,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.,disney plus
Movie,Enchanted,2007,PG,"Comedy, Family, Fantasy",An animated princess winds up in the real world of modern-day Manhattan.,disney plus
Movie,Feast,2014,G,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.,disney plus
Movie,Frozen Fever,2015,G,"Animation, Family, Fantasy",Elsa wants to give Anna the best birthday party ever.,disney plus
Movie,Get a Horse!,2013,G,"Action-Adventure, Animation, Comedy",Mickey and friends hitch a ride on a musical hay wagon.,disney plus
Movie,Home Sweet Home Alone,2021,PG,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",disney plus
Movie,Jungle Cruise,2021,PG-13,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,disney plus
Movie,Limitless with Chris Hemsworth,2021,TV-14,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",disney plus
Movie,Marvel Studios’ 2021 Disney+ Day Special,2021,TV-PG,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",disney plus
Movie,Obi-Wan Kenobi,2021,TV-PG,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",disney plus
TV Show,Olaf Presents,2021,TV-PG,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,disney plus
Movie,Paperman,2012,G,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,disney plus
Movie,Pixar 2021 Disney+ Day Special,2021,G,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,disney plus
Movie,Shang-Chi and The Legend of The Ten Rings,2021,PG-13,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",disney plus
Movie,Spin,2021,TV-G,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!,disney plus
Movie,Tangled Ever After,2012,G,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,disney plus
Movie,The Ballad of Nessie,2011,G,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.,disney plus
Movie,The Little Matchgirl,2006,G,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,disney plus
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,2021,TV-PG,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",disney plus
Movie,The Proud Family: Louder and Prouder,2021,TV-G,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",disney plus
Movie,The Simpsons in Plusaversary,2021,TV-PG,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,disney plus
Movie,Tick Tock Tale,2010,G,"Animation, Crime, Family",A tale of a quirky mantle clock.,disney plus
Movie,Under the Helmet: The Legacy of Boba Fett,2021,TV-PG,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",disney plus
Movie,Willow,2021,TV-PG,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",disney plus
Movie,Alvin and the Chipmunks: Chipwrecked,2011,G,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,disney plus
Movie,Jingle All The Way,1996,PG,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,disney plus
Movie,Jingle All the Way 2,2014,PG,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,disney plus
Movie,Prep & Landing: Operation Secret Santa,2010,TV-G,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.,disney plus
Movie,Santa Buddies: The Legend of Santa Paws,2009,G,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",disney plus
Movie,Snow Buddies,2008,G,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,disney plus
Movie,Space Buddies,2009,G,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",disney plus
Movie,The Search for Santa Paws,2010,G,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,disney plus
Movie,X-Men: First Class,2011,PG-13,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",disney plus
TV Show,Disney Amphibia,2018,TV-Y7,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,disney plus
TV Show,Photo Ark,2017,TV-PG,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,disney plus
TV Show,Storm Rising,2021,TV-14,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,disney plus
Movie,Bob Ballard: An Explorer's Life,2021,TV-PG,"Biographical, Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",disney plus
Movie,"McFarland, USA",2015,PG,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,disney plus
Movie,Rookie of the Year,1993,PG,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",disney plus
Movie,Thumbelina,1994,G,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,disney plus
TV Show,PJ Masks,2015,TV-Y7,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,disney plus
TV Show,The Wild Life of Dr. Ole,2021,TV-PG,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",disney plus
Movie,Lost Cities with Albert Lin: The Great Flood,2021,TV-PG,"Documentary, Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.,disney plus
Movie,Megacity of the Maya Warriors,2021,TV-PG,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,disney plus
TV Show,Apollo: Back To The Moon,2019,TV-PG,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",disney plus
TV Show,Just Beyond,2021,TV-PG,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",disney plus
TV Show,Secrets Of The Zoo: Down Under,2020,TV-14,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.,disney plus
TV Show,Secrets of the Zoo: North Carolina,2020,TV-14,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",disney plus
